Year,Happiness Rank,Happiness Score,Region,Country,Standard Error,Upper Confidence Interval,Lower Confidence Interval,Dystopia Residual,Economy (GDP per Capita),Health (Life Expectancy),Family (Social Support),Trust (Government Corruption),Freedom,Generosity
2016,1,7.526,Western Europe,Denmark,0.033673469,7.592,7.46,2.73939,1.44178,0.79504,1.16374,0.44453,0.57941,0.36171
2016,2,7.509,Western Europe,Switzerland,0.041326531,7.59,7.428,2.69463,1.52733,0.86303,1.14524,0.41203,0.58557,0.28083
2016,3,7.501,Western Europe,Iceland,0.085714286,7.669,7.333,2.83137,1.42666,0.86733,1.18326,0.14975,0.56624,0.47678
2016,4,7.498,Western Europe,Norway,0.039285714,7.575,7.421,2.66465,1.57744,0.79579,1.1269,0.35776,0.59609,0.37895
2016,5,7.413,Western Europe,Finland,0.031632653,7.475,7.351,2.82596,1.40598,0.81091,1.13464,0.41004,0.57104,0.25492
2016,6,7.404,North America,Canada,0.035204082,7.473,7.335,2.70485,1.44015,0.8276,1.0961,0.31329,0.5737,0.44834
2016,7,7.339,Western Europe,Netherlands,0.028061224,7.394,7.284,2.70749,1.46468,0.81231,1.02912,0.29927,0.55211,0.47416
2016,8,7.334,Australia and New Zealand,New Zealand,0.035714286,7.404,7.264,2.47553,1.36066,0.83096,1.17278,0.41904,0.58147,0.49401
2016,9,7.313,Australia and New Zealand,Australia,0.036734694,7.385,7.241,2.5465,1.44443,0.8512,1.10476,0.32331,0.56837,0.47407
2016,10,7.291,Western Europe,Sweden,0.032653061,7.355,7.227,2.54734,1.45181,0.83121,1.08764,0.40867,0.58218,0.38254
2016,11,7.267,Middle East and Northern Africa,Israel,0.034693878,7.335,7.199,3.31029,1.33766,0.84917,0.99537,0.08728,0.36432,0.32288
2016,12,7.119,Western Europe,Austria,0.037755102,7.193,7.045,2.69343,1.45038,0.80565,1.08383,0.21348,0.54355,0.32865
2016,13,7.104,North America,United States,0.042857143,7.188,7.02,2.72782,1.50796,0.779,1.04782,0.14868,0.48163,0.41077
2016,14,7.087,Latin America and Caribbean,Costa Rica,0.044897959,7.175,6.999,3.35168,1.06879,0.76146,1.02152,0.10547,0.55225,0.22553
2016,15,7.039,Latin America and Caribbean,Puerto Rico,0.125,7.284,6.794,3.0076,1.35943,0.77758,1.08113,0.12275,0.46823,0.22202
